Name,path,direction,Data type,duration,transcript
left(69),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(69).wav,left,wav,5.874625,"Turn 2, left, and then in position"
forward(32),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(32).wav,forward,wav,4.2246875,The straight line is the front of the track
backward(39),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(39).wav,backward,wav,5.703625,The right side of the bus is straight line and the left side is position
backward(4),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(4).wav,backward,wav,2.9025,The speedy bussiness is good as well as the straight line
left(59),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(59).wav,left,wav,5.0346875,Turn left and move your head to the left
stop(25),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(25).wav,stop,wav,2.71675,We will continue to work on the final positions.
left(57),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(57).wav,left,wav,3.26475,and then we can go back to the place where we started
left(38),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(38).wav,left,wav,3.225625,Take a turn to left and then in the position again
left(62),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(62).wav,left,wav,5.7585625,Turn left and then turn left
left(5),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(5).wav,left,wav,3.8545,Take a turn to left.
backward(74),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(74).wav,backward,wav,5.0346875,"Now we can move on to the next step, which is the straight line."
forward(76),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(76).wav,forward,wav,5.824,Now we can see the straight line line that we have drawn earlier
left(8),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(8).wav,left,wav,3.9241875,Take a turn to the left and then go to the left of the building
forward(20),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(20).wav,forward,wav,4.1099375,The next stop is the straight line which is the front of the station
right(32),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(32).wav,right,wav,3.815875,Take a turn to right and then in position
stop(9),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(9).wav,stop,wav,1.9040625,We will be back soon with another episode of Poshy.
stop(32),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(32).wav,stop,wav,2.1805,I'm going to take a look at the position of Karan
backward(33),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(33).wav,backward,wav,5.242375,I hope you like it and that you can get a straight line.
stop(15),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(15).wav,stop,wav,2.1826875,Let's see the final result of the final round.
left(60),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(60).wav,left,wav,4.9714375,Take a turn to the left and then position yourself in the same position
left(20),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(20).wav,left,wav,3.5990625,"When you turn it to left, it's like this."
left(66),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(66).wav,left,wav,3.8545,Thank you for watching.
left(45),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(45).wav,left,wav,6.5066875,"Then, the tool left is the position of the tool"
forward(23),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(23).wav,forward,wav,4.1795625,This is the first time I've seen a straight line in a row
left(67),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(67).wav,left,wav,4.0635,Take a turn to left and then position it in the right direction
left(6),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(6).wav,left,wav,3.390125,Take a turn to the left and then in position again
backward(56),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(56).wav,backward,wav,8.2773125,The right side of the left foot is the right side of the right foot.
left(61),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(61).wav,left,wav,3.4773125,Take a turn left and right and then in the position again
backward(42),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(42).wav,backward,wav,4.0306875,and the other one is the one with the straight line
right(75),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(75).wav,right,wav,4.2056875,Turn to right and press the left button
forward(22),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(22).wav,forward,wav,3.87775,The straight line is the starting point of the straight line
forward(21),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(21).wav,forward,wav,5.0619375,I'm going to go straight to the right and then I'll go to the left
backward(46),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(46).wav,backward,wav,3.8779375,The position of the two lines is very important to make sure that the straight line is in the right position
forward(12),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(12).wav,forward,wav,3.761625,The straight line is very important for the position of the car
left(19),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(19).wav,left,wav,3.2508125,Take a turn to the left and position your head
stop(55),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(55).wav,stop,wav,4.7573125,I'm going to show you the current position
left(41),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(41).wav,left,wav,2.3219375,I'm going to take a little bit of the left and then I'll go back to the right
backward(21),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(21).wav,backward,wav,4.5975625,We are now at the straight line of Sarayana. We are going to the right side of the road.
right(20),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(20).wav,right,wav,2.623875,Turn right and then turn left
forward(61),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(61).wav,forward,wav,4.992,The first step is to make sure the straight line is in the right position
backward(9),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(9).wav,backward,wav,3.8080625,Now we can go straight to the next line and then we can go to the next postage.
left(40),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(40).wav,left,wav,3.6749375,Turn to the left and then go to the position
stop(39),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(39).wav,stop,wav,2.688875,We will be back soon with a new episode
forward(57),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(57).wav,forward,wav,3.862125,"The road is not straight, so we have to cross the road"
backward(72),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(72).wav,backward,wav,4.04025,The next step is to go straight and then go to the dam position
backward(2),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(2).wav,backward,wav,3.8080625,The first row is straight and the second row is straight
stop(50),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(50).wav,stop,wav,3.4346875,Now we will move on to the next position
forward(71),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(71).wav,forward,wav,6.083625,The straight line is the most important position for the front
right(39),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(39).wav,right,wav,3.748125,Turn to right and then position yourself
stop(10),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(10).wav,stop,wav,2.043375,Now we will move on to Karan's position
forward(75),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(75).wav,forward,wav,5.3546875,I'm going to go straight to the left and then I'll go to the right
backward(66),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(66).wav,backward,wav,3.862125,I hope you have a wonderful day. See you in the next episode.
forward(30),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(30).wav,forward,wav,4.6711875,The straight line is the same as the straight line.
right(6),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(6).wav,right,wav,3.45975,Take a turn to write and then in the position again
right(57),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(57).wav,right,wav,3.00875,and the right turn and the right turn and the right turn
backward(32),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(32).wav,backward,wav,3.6114375,The straight line is also a bit more straight
forward(24),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(24).wav,forward,wav,4.156375,The straight line is the most important point in the postage
forward(33),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(33).wav,forward,wav,4.4630625,This is the first time I've seen a straight line like this because it's a straight line
left(31),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(31).wav,left,wav,3.6928125,Turn left and then push it again
left(55),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(55).wav,left,wav,6.4853125,"Take a turn, to left, and then position again"
right(36),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(36).wav,right,wav,3.6935,Take a turn to right and then position yourself in the right direction
forward(15),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(15).wav,forward,wav,3.8313125,The next step is to make sure that the lines are aligned correctly and the position is right.
right(60),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(60).wav,right,wav,5.56875,Take a turn to right and then position your feet in the same position
left(21),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(21).wav,left,wav,3.4133125,Turn left and then turn left
backward(1),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(1).wav,backward,wav,3.552625,The next step is to add the straight lines to the composition
stop(35),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(35).wav,stop,wav,2.7124375,We will continue to look at the current and position of the current.
forward(10),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(10).wav,forward,wav,4.342125,The straight line is a bit more straight
